 &SRS
instrument=i24
facility=DLS
facilityType=Synchrotron X-Ray Source
probe=X-ray
beamCurrent=249.6145
facilityMode=User
fillMode=Standby
userid=tjs15132
federalid=tjs15132
defVisit=cm2075-3
investigation=
visit=cm2075-3
proposal=
title=
user=
 &END
 DCMFPitch	Time	   BPM1IN  Topup 
 -0.12141	1.02	0.0075857	190.79 
 -0.11727	1.02	0.0032178	189.21 
 -0.11324	1.02	0.0033031  187.97 
 -0.10926	1.02	0.0044243	186.85
 -0.10523	1.02	0.0046063	185.72
 -0.10125	1.02	0.0056844	184.59
-0.097163	1.02	0.0066047	183.35
-0.093186	1.02	0.0069417	182.21
-0.089209	1.03	0.0086299	180.97
-0.085176	1.02	0.0086299	179.85
-0.081255	1.02	0.011123	178.72
-0.077112	1.02	0.012876	177.47
-0.073135	1.02	0.013903	176.35
-0.069158	1.02	0.016846	175.22
-0.065125	1.02	0.017253	174.09
-0.061038	1.02	0.023503	172.85
-0.057116	1.02	0.023503	171.72
-0.053139	1.02	0.032627	170.59
-0.049106	1.04	0.040756	169.46
-0.045129	1.02	0.044328	168.10
-0.041097	1.02	0.064642	166.97
-0.037064	1.02	0.065731	165.83
-0.033032	1.02	0.12222	164.59
-0.029055	1.02	0.19542	163.47
-0.025078	1.02	0.23313	162.23
-0.021046	1.02	0.36976	160.99
-0.017068	1.02	0.37502	159.77
-0.012981	1.02	0.51914	158.64
-0.0090037	1.02	0.56092	157.52
-0.0050266	1.02	0.54608	156.27
-0.00099428	1.02	0.44119	155.03
0.0029828	1.02	0.44119	153.67
0.0069599	1.02	0.28586	152.54
 0.010937	1.02	0.18421	151.29
 0.015025	1.02	0.17383	150.19
 0.019002	1.02	0.085106	148.95
 0.023034	1.02	0.082791	147.82
 0.026735	1.03	0.050575	146.69
 0.030933	1.02	0.040237	145.56
 0.035131	1.03	0.036290	144.43
 0.038832	1.02	0.028612	143.19
 0.043085	1.02	0.027873	142.06
 0.047173	1.02	0.020652	140.93
 0.051040	1.02	0.020652	139.80
 0.055072	1.02	0.016065	138.57
 0.059104	1.04	0.014029	137.44
 0.062971	1.02	0.013338	136.20
 0.067059	1.02	0.011208	135.07
 0.071091	1.02	0.011146	133.83
 0.075123	1.02	0.0090933	132.70
 0.079100	1.02	0.0081806	131.57
 0.083133	1.02	0.0076025	130.45
 0.087110	1.02	0.0067541	129.32
 0.091087	1.02	0.0066283	127.98
 0.095064	1.02	0.0055040	126.85
 0.099207	1.02	0.0053623	125.72
  0.10307	1.02	0.0045297	124.61
  0.10722	1.02	0.0040586	123.37
  0.11130	1.02	0.0039221	122.24
  0.11528	1.02	0.0032931	120.99
  0.11909	1.02	0.0032931	119.87
